DATE,DESCRIPTION,From/To,SPENT,RECEIVED,ASSIGN TO
"11/29/2025","AIRALO SINGAPORE SG XXXX2000","","$22.12","","Advertising & Marketing"
"11/29/2025","GglPay WUNDERMART UKLONDON GB XXXX2000","","$10.58","","Travel - Employee Meals"
"11/26/2025","CHEVRON XXX5133/CHEVSANTA ROSA CA XXXX1044","CHEVRON","$26.37","","Fuel - COS"
"11/26/2025","LAGUNA SECA RACEWAY SALINAS CA XXXX1028","WeatherTech Raceway Laguna Seca","$4,700.00","","Track Rental - COS"
"11/25/2025","TORO CARMEL BY THE CA XXXX1044","","$167.07","","Travel - Employee Meals"
"11/25/2025","PATA NEGRA XXXXX0001SAN DIEGO CA XXXX2000","","$251.06","","Travel - Employee Meals"
"11/25/2025","AVIS RENT A CAR MONTEREY CA XXXX1036","AVIS","$491.87","","Vehicle (Rent/Wash) - COS"
"11/25/2025","STARBUCKS XXX-XXX-7282 WA XXXX1036","Starbucks","$82.00","","Course Catering/Meals - COS"
"11/25/2025","ALAMO RENT-A-CXX1327MONTEREY CA XXXX1036","Alamo","$398.64","","Vehicle (Rent/Wash) - COS"
"11/25/2025","STARBUCKS XXX-XXX-7282 WA XXXX1044","Starbucks","$9.70","","Travel - Employee Meals"
"11/25/2025","HERTZ CAR RENTAL OKLAHOMA CITY OK XXXX2000","HERTZ CAR RENTAL","$208.10","","Vehicle (Rent/Wash) - COS"
"11/25/2025","X-ELEVEN XXXXX X0073DEL REY OAKS CA XXXX1036","7-Eleven","$40.38","","Fuel - COS"
"11/25/2025","X-ELEVEN XXXXX X0073DEL REY OAKS CA XXXX1036","7-Eleven","$41.12","","Fuel - COS"
"11/25/2025","EZCATER*SUBWAY BOSTON MA XXXX1036","","$280.82","","Travel - Employee Meals"
"11/25/2025","X-ELEVEN XXXXX X0073DEL REY OAKS CA XXXX1036","7-Eleven","$8.73","","Fuel - COS"
"11/25/2025","X-ELEVEN XXXXX X0073DEL REY OAKS CA XXXX1044","7-Eleven","$164.58","","Fuel - COS"
"11/24/2025","SUBWAY MONTEREY CA XXXX1036","SUBWAY","$34.71","","Travel - Employee Meals"
"11/24/2025","FEDEX OFFICE SEASIDE CA XXXX1044","10 Federal","$6.99","","Supplies & Materials - COS"
"11/24/2025","WWW.STICKERYOU.COM TORONTO XXXX2000","","$204.75","","Advertising & Marketing"
"11/24/2025","EZCATER*SUBWAY BOSTON MA XXXX1036","","$262.33","","Travel - Employee Meals"
"11/24/2025","FEDEX OFFICE SEASIDE CA XXXX1044","10 Federal","$26.57","","Supplies & Materials - COS"
"11/24/2025","STARBUCKS XXX-XXX-7282 WA XXXX1044","Starbucks","$14.45","","Travel - Employee Meals"
"11/23/2025","HERTZ CAR RENTAL MONTEREY CA XXXX1036","HERTZ CAR RENTAL","$598.57","","Vehicle (Rent/Wash) - COS"
"11/23/2025","Southwest Airlines DALLAS TX XXXX2000","Southwest Airlines","$68.00","","Travel - Courses COS"
"11/23/2025","HERTZ CAR RENTAL SANTA ROSA CA XXXX1044","HERTZ CAR RENTAL","$389.52","","Vehicle (Rent/Wash) - COS"
"11/23/2025","UKVI UKVI LONDON GB XXXX1044","","$21.90","","Travel - Courses COS"
"11/23/2025","CHOPSTIX SAN DIEGO CA XXXX2000","","$151.81","","Travel - Employee Meals"
"11/21/2025","AIRBNB * HMECMNE43N SAN FRANCISCO CA XXXX2000","Airbnb","$731.75","","Travel - Courses COS"
"11/21/2025","SAFEWAY #XXXX 1204 PRUNEDALE CA XXXX1036","SAFEWAY","$40.87","","Course Catering/Meals - COS"
"11/21/2025","X-ELEVEN XXXXX X0073MARINA CA XXXX1036","7-Eleven","$43.24","","Fuel - COS"
"11/20/2025","SONESTA HOTELS SELECPHILADELPHIA PA XXXX1036","","$173.39","","Travel - Courses COS"
"11/20/2025","CHICK-FIL-A PHILADELPHIA PA XXXX1036","Chick Fil A","$11.13","","Travel - Employee Meals"
"11/20/2025","Southwest Airlines DALLAS TX XXXX1036","Southwest Airlines","$100.00","","Travel - Courses COS"
"11/20/2025","HERTZ CAR RENTAL OKLAHOMA CITY OK XXXX2000","HERTZ CAR RENTAL","$67.11","","Vehicle (Rent/Wash) - COS"
